date,death,deathIncrease,hospitalized,hospitalizedIncrease,positive,positiveIncrease,negative,negativeIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-03-21,12.0,2,158.0,158,528.0,142,6579.0,4709,-39.0,-3.0,-33.0,-42.0,-26.0,11.0
2020-03-22,13.0,1,185.0,27,731.0,203,7990.0,1411,-43.0,-12.0,-33.0,-49.0,-33.0,11.0
2020-03-23,14.0,1,217.0,32,1029.0,298,11063.0,3073,-37.0,-12.0,-33.0,-46.0,-36.0,15.0
2020-03-24,18.0,4,259.0,42,1205.0,176,13127.0,2064,-38.0,-12.0,-33.0,-46.0,-39.0,16.0
2020-03-25,22.0,4,316.0,57,1488.0,283,15374.0,2247,-38.0,-13.0,-33.0,-48.0,-40.0,17.0
2020-03-26,28.0,6,406.0,90,1985.0,497,23741.0,8367,-40.0,-14.0,-34.0,-51.0,-42.0,18.0
2020-03-27,34.0,6,456.0,50,2520.0,535,28186.0,4445,-44.0,-17.0,-38.0,-55.0,-43.0,20.0
2020-03-28,54.0,20,526.0,70,3179.0,659,35366.0,7180,-49.0,-23.0,-48.0,-59.0,-36.0,14.0
2020-03-29,56.0,2,594.0,68,3884.0,705,39070.0,3704,-50.0,-26.0,-48.0,-63.0,-41.0,13.0
2020-03-30,63.0,7,652.0,58,4760.0,876,48225.0,9155,-42.0,-22.0,-42.0,-55.0,-43.0,17.0
2020-03-31,77.0,14,823.0,171,5612.0,852,54285.0,6060,-42.0,-20.0,-46.0,-52.0,-45.0,19.0
2020-04-01,87.0,10,949.0,126,6516.0,904,59529.0,5244,-37.0,-11.0,-41.0,-53.0,-45.0,18.0
2020-04-02,128.0,41,1123.0,174,7548.0,1032,69286.0,9757,-39.0,-11.0,-42.0,-55.0,-46.0,19.0
2020-04-03,163.0,35,1287.0,164,8816.0,1268,82137.0,12851,-47.0,-19.0,-49.0,-59.0,-48.0,22.0
2020-04-04,191.0,28,1462.0,175,10097.0,1281,90956.0,8819,-53.0,-25.0,-57.0,-64.0,-40.0,16.0
2020-04-05,218.0,27,1572.0,110,11245.0,1148,101253.0,10297,-57.0,-33.0,-70.0,-70.0,-45.0,15.0
